week,mean_age
1,57.68077288
2,58.02705264
3,60.01638238
4,58.38184572
5,57.87517717
6,57.24115401
7,58.43735591
8,58.94207005
9,56.64233091
10,58.68615608
11,58.04251977
12,58.74319489
13,58.63545664
14,59.88750229
15,57.64553527
16,58.73497364
17,55.84107579
18,56.49433962
19,57.92532037
20,55.3645427
21,55.21504237
22,56.30247681
23,58.7202436
24,58.84870757
25,57.50487032
26,57.5778576
27,56.68956697
28,57.92537783
29,57.21457366
30,56.0844792
31,57.19155313
32,58.44876309
33,57.71084861
34,58.59420226
35,57.30489268
36,55.93387881
37,58.11403277
38,55.52143208
39,56.97779027
40,56.36827768
41,57.37881587
42,58.9501559
43,56.65950314
44,57.92930029
45,56.97330668
46,57.82913101
47,58.05278974
48,57.07522591
49,56.57397756
50,58.58288493
51,55.75559159
52,57.13286517
53,56.24490671
